minute,bid,bidSh,ask,askSh
44760000000000,3216900,406,3217300,140
44820000000000,3215200,100,3215500,100
44880000000000,3213400,200,3213900,100
44940000000000,3210200,300,3210700,10
45000000000000,3208300,3,3208800,100
45060000000000,3209600,100,3210100,367
45120000000000,3209700,100,3210000,25
45180000000000,3207200,100,3207800,411
45240000000000,3207800,200,3208000,100
45300000000000,3208600,116,3208800,100
45360000000000,3206700,122,3207000,17
45420000000000,3208600,15,3208800,11
45480000000000,3205200,300,3205800,200
45540000000000,3200900,200,3201500,200
45600000000000,3201000,100,3201500,100
45660000000000,3202000,98,3202500,97
45720000000000,3206400,100,3206600,10
45780000000000,3207300,100,3208000,300
45840000000000,3206900,115,3207200,100
45900000000000,3206600,100,3207000,101
45960000000000,3203500,100,3204300,100
46020000000000,3202200,100,3202900,100
46080000000000,3201800,100,3202200,20
46140000000000,3202100,100,3202800,51
46200000000000,3202000,265,3202600,150
46260000000000,3203700,100,3204200,177
46320000000000,3206500,127,3206700,100
46380000000000,3207000,200,3207500,100
46440000000000,3204700,300,3204900,300
46500000000000,3202400,100,3203000,100
46560000000000,3203400,100,3204100,100
46620000000000,3205100,200,3205500,300
46680000000000,3204500,15,3204900,208
46740000000000,3203700,100,3204200,100
46800000000000,3204200,400,3204500,431
46860000000000,3203300,1,3203700,300
46920000000000,3204300,104,3204700,1500
46980000000000,3205300,106,3205800,200
47040000000000,3205200,200,3205700,100
47100000000000,3202500,10,3203000,101
47160000000000,3199000,568,3199300,200
47220000000000,3197100,100,3197400,50
47280000000000,3195900,100,3196200,200
47340000000000,3195100,100,3195500,100
47400000000000,3196000,100,3196600,120
47460000000000,3197800,51,3198500,251
47520000000000,3197900,100,3198500,100
47580000000000,3198500,106,3198900,100
47640000000000,3198800,101,3199300,102
47700000000000,3196500,300,3197000,1
47760000000000,3197100,52,3197600,100
47820000000000,3199100,152,3199500,100
47880000000000,3198500,100,3199000,146
47940000000000,3196400,711,3196700,49
48000000000000,3194000,100,3194400,31
48060000000000,3194000,100,3194700,200
48120000000000,3195100,6,3195300,200
48180000000000,3194300,115,3194500,400
48240000000000,3195300,200,3195900,200
48300000000000,3195000,31,3195300,50
48360000000000,3194200,4,3194700,100
48420000000000,3195000,32,3195400,100
48480000000000,3195700,100,3196000,79
48540000000000,3198600,100,3198700,100
48600000000000,3198600,921,3198800,50
48660000000000,3197000,15,3197300,47
48720000000000,3199200,100,3199800,120
48780000000000,3201600,200,3201700,9
48840000000000,3203300,300,3203600,25
48900000000000,3203300,10,3203700,100
48960000000000,3202800,100,3203300,80
49020000000000,3200300,100,3200800,200
49080000000000,3201100,15,3201400,100
