tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,midday,1s,147,25874,2946891.0,39531487.1392109,-9527034.387455495,49058521.52666641
101-1000,midday,1s,148,22023,2266720.0,28264930.896288693,-10309868.774346672,38574799.670635365
101-1000,midday,1s,149,24187,2685865.0,27740607.211987294,-14101490.71994832,41842097.93193561
101-1000,midday,1s,150,24707,2844319.0,31428604.59211286,-15053774.508310515,46482379.10042337
101-1000,midday,1s,151,21049,2231660.0,22515441.194680512,-9499243.606002033,32014684.80068254
101-1000,midday,1s,152,21735,2277930.0,21253747.304415166,-8353705.456747007,29607452.76116217
101-1000,midday,1s,153,21977,2257807.0,27522279.038856626,-14343862.760054305,41866141.79891092
101-1000,midday,1s,154,20767,2231256.0,37459533.07515118,-8712176.422102321,46171709.49725349
101-1000,midday,1s,155,21639,2340709.0,32309981.04551779,-16887899.284534648,49197880.330052435
101-1000,midday,1s,156,24677,2651018.0,30718598.252433848,-13282029.87880019,44000628.13123404
101-1000,midday,1s,157,21275,2390467.0,29637798.185698327,-13917296.413414503,43555094.59911283
101-1000,midday,1s,158,21098,2317261.0,34508144.700550035,-9802324.58004126,44310469.280591294
101-1000,midday,1s,159,22497,2300786.0,34458627.95594833,-7438066.933513219,41896694.88946156
101-1000,midday,1s,160,23439,2659473.0,33912629.51788561,-14383914.38053042,48296543.89841603
101-1000,midday,1s,161,21764,2357297.0,33280768.91135185,-4177317.8964533536,37458086.80780522
101-1000,midday,1s,162,21504,2273468.0,30129954.375107355,-10001574.827739092,40131529.202846445
101-1000,midday,1s,163,22780,2396471.0,30625561.031378914,-13851502.465204172,44477063.49658309
101-1000,midday,1s,164,20190,2013548.0,20640478.98814352,-9273137.49147281,29913616.47961633
101-1000,midday,1s,165,23666,2487192.0,29494442.321532484,-15846411.271080978,45340853.59261346
101-1000,midday,1s,166,21689,2257409.0,23325135.519177817,-5901411.63795428,29226547.1571321
101-1000,midday,1s,167,22178,2423110.0,30970419.817025274,-4548767.247893489,35519187.064918764
101-1000,midday,1s,168,27041,2796966.0,34069101.52462389,-14274624.11388088,48343725.63850478
101-1000,midday,1s,169,22258,2324802.0,28539244.714409944,-7885688.46301738,36424933.17742732
101-1000,midday,1s,170,23363,2406638.0,37631150.780494206,-199542.66997936415,37830693.45047356
101-1000,midday,1s,171,21121,2234605.0,41809488.53743758,6240103.223349961,35569385.314087614
101-1000,midday,1s,172,25175,2664036.0,30954583.941680055,-7841299.176009352,38795883.117689416
101-1000,midday,1s,173,25403,2610607.0,27548977.159194812,-8781278.299250305,36330255.45844512
101-1000,midday,1s,174,24741,2837193.0,38272348.45129121,-19547259.469627947,57819607.920919165
101-1000,midday,1s,175,22666,2472041.0,32826810.766370773,-1976818.2238726255,34803628.9902434
101-1000,midday,1s,176,25052,2801849.0,35823085.946762025,-2240516.125691099,38063602.07245312
101-1000,midday,1s,177,23866,2758682.0,29180901.415654905,-6961342.295692944,36142243.71134784
101-1000,midday,1s,178,22326,2266976.0,23304501.71478183,-9981076.454171907,33285578.16895374
101-1000,midday,1s,179,27734,3073975.0,46133025.262907125,-19608187.053575188,65741212.316482306
101-1000,midday,1s,180,32318,3345243.0,40163117.6281311,-12110528.30693228,52273645.93506337
101-1000,midday,1s,181,25425,2723486.0,36902507.33483351,960009.7751780574,35942497.55965545
101-1000,midday,1s,182,27027,2902458.0,35949658.1466559,-12644070.177236881,48593728.32389279
101-1000,midday,1s,183,32338,3561073.0,51781699.72083492,11782570.610104786,39999129.11073015
101-1000,midday,1s,184,31121,3472519.0,50673819.790007874,3227483.0959040197,47446336.69410385
101-1000,midday,1s,185,29712,3346170.0,46602770.94417834,-5558807.177234587,52161578.12141294
101-1000,midday,30s,120,43306,5340355.0,117272640.2720173,-21705675.1769759,138978315.4489932
101-1000,midday,30s,121,38486,4755744.0,76441909.88012655,-50341656.78819469,126783566.66832124
101-1000,midday,30s,122,54106,7203290.0,103580590.33744425,-17648533.891475435,121229124.2289197
101-1000,midday,30s,123,42039,5285141.0,64988832.656112425,-44952820.671539605,109941653.32765204
101-1000,midday,30s,124,37684,4544833.0,71454482.91705671,-27548154.755750988,99002637.6728077
101-1000,midday,30s,125,37415,4643646.0,63987222.899378516,-33211644.25305143,97198867.15242995
101-1000,midday,30s,126,33928,3978955.0,52825904.04454435,-18524707.43838882,71350611.48293316
101-1000,midday,30s,127,34013,4405237.0,70047836.48255078,-24262159.54389921,94309996.02645001
101-1000,midday,30s,128,31708,3750458.0,44929867.17959255,-25797774.820325557,70727641.99991812
101-1000,midday,30s,129,30068,3766931.0,73387866.2491575,-64704811.89393629,138092678.14309385
101-1000,midday,30s,130,30259,3787485.0,55529587.68958187,-25547518.87883082,81077106.5684127
101-1000,midday,30s,131,30773,3989690.0,77680443.84432535,-37161089.33940431,114841533.18372968
101-1000,midday,30s,132,34567,4194233.0,61619583.55949932,-66944369.35401743,128563952.91351664
101-1000,midday,30s,133,31209,3960977.0,56141332.61146139,-43679767.949709065,99821100.56117044
101-1000,midday,30s,134,29965,3424438.0,43460119.261034146,-20162624.45047052,63622743.71150465
101-1000,midday,30s,135,28148,3436712.0,50614832.05289419,-24772830.492476095,75387662.5453703
101-1000,midday,30s,136,27636,3141270.0,48062034.97994617,-40657920.824741326,88719955.8046875
101-1000,midday,30s,137,28828,3412453.0,43311844.40268837,-51175700.10006375,94487544.50275213
101-1000,midday,30s,138,29273,3671395.0,42334603.561005205,-35302933.748468,77637537.3094732
101-1000,midday,30s,139,24897,3048185.0,48587088.90323615,-39825779.494148135,88412868.39738429
101-1000,midday,30s,140,27993,3162822.0,39125772.36367892,-22418103.59566145,61543875.959340364
101-1000,midday,30s,141,25026,2680081.0,40224269.908851326,-15120701.161928624,55344971.07077996
101-1000,midday,30s,142,25001,2676622.0,33458974.24540229,-33560456.90113303,67019431.14653533
101-1000,midday,30s,143,23832,2532806.0,38417969.51200613,-28656071.504931778,67074041.01693791
101-1000,midday,30s,144,25150,2675519.0,41728233.976314284,-20234524.447702352,61962758.42401664
101-1000,midday,30s,145,23992,2603684.0,35334675.451439574,-23547262.179046538,58881937.63048611
101-1000,midday,30s,146,23713,2491912.0,34909809.154099986,-17812981.141273756,52722790.29537373
101-1000,midday,30s,147,25874,2946891.0,39531487.13921092,-20897575.716665313,60429062.85587622
101-1000,midday,30s,148,22023,2266720.0,28264930.89628869,-17387264.87023959,45652195.76652826
101-1000,midday,30s,149,24187,2685865.0,27740607.21198729,-13131857.229150359,40872464.44113765
101-1000,midday,30s,150,24707,2844319.0,31428604.592112858,-12028529.49861491,43457134.09072777
101-1000,midday,30s,151,21049,2231660.0,22515441.19468051,-13049574.898223901,35565016.09290441
101-1000,midday,30s,152,21735,2277930.0,21253747.304415163,-7986205.512723802,29239952.817138966
101-1000,midday,30s,153,21977,2257807.0,27522279.03885663,-20077745.021726165,47600024.060582794
101-1000,midday,30s,154,20767,2231256.0,37459533.07515118,-11700251.403589625,49159784.4787408
101-1000,midday,30s,155,21639,2340709.0,32309981.045517787,-20273648.44109959,52583629.48661738
101-1000,midday,30s,156,24677,2651018.0,30718598.252433848,-15503971.002859738,46222569.255293585
101-1000,midday,30s,157,21275,2390467.0,29637798.18569832,-20151569.005254816,49789367.190953135
101-1000,midday,30s,158,21098,2317261.0,34508144.70055004,-12594928.710294073,47103073.410844125
101-1000,midday,30s,159,22497,2300786.0,34458627.95594834,-16688690.60242124,51147318.558369584
101-1000,midday,30s,160,23439,2659473.0,33912629.5178856,-23810343.371187225,57722972.889072835
101-1000,midday,30s,161,21764,2357297.0,33280768.911351856,-13401397.37527014,46682166.28662201
101-1000,midday,30s,162,21504,2273468.0,30129954.37510735,-15853989.42329504,45983943.79840239
101-1000,midday,30s,163,22780,2396471.0,30625561.031378914,-16431328.822492767,47056889.85387169
101-1000,midday,30s,164,20190,2013548.0,20640478.988143522,-9631782.560970696,30272261.54911421
101-1000,midday,30s,165,23666,2487192.0,29494442.32153248,-22914788.370723434,52409230.69225593
101-1000,midday,30s,166,21689,2257409.0,23325135.51917782,-8848997.399947545,32174132.91912537
101-1000,midday,30s,167,22178,2423110.0,30970419.817025278,-7984652.4831704525,38955072.30019573
101-1000,midday,30s,168,27041,2796966.0,34069101.52462389,-14376186.51089206,48445288.035515964
101-1000,midday,30s,169,22258,2324802.0,28539244.714409944,-6896810.309731376,35436055.02414132
101-1000,midday,30s,170,23363,2406638.0,37631150.7804942,-21443173.958982162,59074324.73947635
101-1000,midday,30s,171,21121,2234605.0,41809488.53743757,-21892545.38442958,63702033.92186716
101-1000,midday,30s,172,25175,2664036.0,30954583.94168006,-5672613.099952852,36627197.04163292
101-1000,midday,30s,173,25403,2610607.0,27548977.15919481,-9598931.97137665,37147909.130571455
101-1000,midday,30s,174,24741,2837193.0,38272348.45129121,-30876116.771832086,69148465.2231233
101-1000,midday,30s,175,22666,2472041.0,32826810.766370777,-1056338.6304187407,33883149.39678951
101-1000,midday,30s,176,25052,2801849.0,35823085.946762025,-3823354.7202293696,39646440.66699139
101-1000,midday,30s,177,23866,2758682.0,29180901.415654905,-9336416.113893578,38517317.52954847
101-1000,midday,30s,178,22326,2266976.0,23304501.714781824,-14924226.93407357,38228728.648855396
101-1000,midday,30s,179,27734,3073975.0,46133025.26290711,-28308806.238709643,74441831.50161676
101-1000,midday,30s,180,32318,3345243.0,40163117.6281311,-19599143.20607557,59762260.83420666
101-1000,midday,30s,181,25425,2723486.0,36902507.3348335,-18064170.13647437,54966677.471307874
101-1000,midday,30s,182,27027,2902458.0,35949658.146655895,-17544419.814732864,53494077.961388774
101-1000,midday,30s,183,32338,3561073.0,51781699.72083492,-3313247.552038992,55094947.27287392
101-1000,midday,30s,184,31121,3472519.0,50673819.790007874,-1437100.2680980468,52110920.05810592
101-1000,midday,30s,185,29712,3346170.0,46602770.94417835,-15583789.053245148,62186559.997423485
101-1000,midday,5s,120,43306,5340355.0,117272640.27201733,-17936137.125004098,135208777.3970214
101-1000,midday,5s,121,38486,4755744.0,76441909.88012655,-39103357.6419316,115545267.52205816
101-1000,midday,5s,122,54106,7203290.0,103580590.33744426,-41009453.67098562,144590044.00842986
101-1000,midday,5s,123,42039,5285141.0,64988832.656112425,-26152570.05853103,91141402.71464346
101-1000,midday,5s,124,37684,4544833.0,71454482.91705668,-20626127.330317013,92080610.24737372
101-1000,midday,5s,125,37415,4643646.0,63987222.89937851,-21416629.332704723,85403852.23208325
101-1000,midday,5s,126,33928,3978955.0,52825904.04454435,-23002082.793318532,75827986.83786288
101-1000,midday,5s,127,34013,4405237.0,70047836.4825508,-12815957.386452114,82863793.86900291
101-1000,midday,5s,128,31708,3750458.0,44929867.17959256,-17347276.317858253,62277143.497450806
101-1000,midday,5s,129,30068,3766931.0,73387866.24915749,-45523692.08273835,118911558.33189584
101-1000,midday,5s,130,30259,3787485.0,55529587.68958187,-22096904.719154023,77626492.40873592
101-1000,midday,5s,131,30773,3989690.0,77680443.84432536,-24932268.52330678,102612712.36763218
101-1000,midday,5s,132,34567,4194233.0,61619583.55949931,-38438004.29087623,100057587.85037555
101-1000,midday,5s,133,31209,3960977.0,56141332.61146141,-19981883.746775493,76123216.3582369
101-1000,midday,5s,134,29965,3424438.0,43460119.261034146,-27204660.488486573,70664779.7495207
101-1000,midday,5s,135,28148,3436712.0,50614832.0528942,-24462999.44432351,75077831.49721771
101-1000,midday,5s,136,27636,3141270.0,48062034.97994616,-22539609.765460745,70601644.74540693
101-1000,midday,5s,137,28828,3412453.0,43311844.40268838,-22337924.12269334,65649768.52538171
101-1000,midday,5s,138,29273,3671395.0,42334603.56100519,-31683654.99052778,74018258.55153298
101-1000,midday,5s,139,24897,3048185.0,48587088.90323615,-27227557.297861025,75814646.20109719
101-1000,midday,5s,140,27993,3162822.0,39125772.36367893,-20705223.3232587,59830995.68693762
101-1000,midday,5s,141,25026,2680081.0,40224269.908851326,-8114062.101503666,48338332.01035499
101-1000,midday,5s,142,25001,2676622.0,33458974.245402295,-22554915.316442337,56013889.56184464
101-1000,midday,5s,143,23832,2532806.0,38417969.51200613,-21712284.798034694,60130254.310040824
101-1000,midday,5s,144,25150,2675519.0,41728233.97631427,-20156722.492897946,61884956.4692122
101-1000,midday,5s,145,23992,2603684.0,35334675.451439574,-18374481.906335898,53709157.35777548
101-1000,midday,5s,146,23713,2491912.0,34909809.154099986,-18706533.687179413,53616342.841279395
101-1000,midday,5s,147,25874,2946891.0,39531487.13921092,-14017432.159736823,53548919.29894774
101-1000,midday,5s,148,22023,2266720.0,28264930.896288686,-14319207.08157134,42584137.97786004
101-1000,midday,5s,149,24187,2685865.0,27740607.211987294,-14104218.307967614,41844825.519954905
101-1000,midday,5s,150,24707,2844319.0,31428604.59211286,-17907154.543139465,49335759.135252334
101-1000,midday,5s,151,21049,2231660.0,22515441.194680505,-9937031.809853816,32452473.004534323
101-1000,midday,5s,152,21735,2277930.0,21253747.304415166,-9625551.851633266,30879299.15604843
101-1000,midday,5s,153,21977,2257807.0,27522279.038856626,-14935757.411326513,42458036.45018314
101-1000,midday,5s,154,20767,2231256.0,37459533.07515118,-10596069.30540351,48055602.38055469
101-1000,midday,5s,155,21639,2340709.0,32309981.045517787,-15982435.28859783,48292416.33411561
101-1000,midday,5s,156,24677,2651018.0,30718598.25243385,-17163902.93159006,47882501.18402391
101-1000,midday,5s,157,21275,2390467.0,29637798.185698327,-17605589.31377938,47243387.49947771
101-1000,midday,5s,158,21098,2317261.0,34508144.70055004,-13694220.326522669,48202365.02707271
101-1000,midday,5s,159,22497,2300786.0,34458627.95594834,-9652055.415201852,44110683.371150196
101-1000,midday,5s,160,23439,2659473.0,33912629.5178856,-17930065.268102143,51842694.78598775
101-1000,midday,5s,161,21764,2357297.0,33280768.911351856,-4758013.357356378,38038782.268708244
101-1000,midday,5s,162,21504,2273468.0,30129954.375107355,-10462844.495970361,40592798.87107771
101-1000,midday,5s,163,22780,2396471.0,30625561.031378917,-19484180.57123068,50109741.60260959
101-1000,midday,5s,164,20190,2013548.0,20640478.98814352,-10084850.70759559,30725329.695739105
101-1000,midday,5s,165,23666,2487192.0,29494442.321532484,-16203886.317585636,45698328.63911811
101-1000,midday,5s,166,21689,2257409.0,23325135.519177824,-7299902.330856458,30625037.85003427
101-1000,midday,5s,167,22178,2423110.0,30970419.817025274,-6347405.380383018,37317825.19740829
101-1000,midday,5s,168,27041,2796966.0,34069101.52462389,-14486451.15875748,48555552.68338139
101-1000,midday,5s,169,22258,2324802.0,28539244.714409944,-7177413.926377724,35716658.64078766
101-1000,midday,5s,170,23363,2406638.0,37631150.78049419,-16898038.71909132,54529189.49958552
101-1000,midday,5s,171,21121,2234605.0,41809488.53743758,-5567991.496855609,47377480.034293175
101-1000,midday,5s,172,25175,2664036.0,30954583.94168006,-13717717.061555171,44672301.00323523
101-1000,midday,5s,173,25403,2610607.0,27548977.159194812,-8754134.375110118,36303111.534304924
101-1000,midday,5s,174,24741,2837193.0,38272348.45129121,-24162890.54585379,62435238.99714499
101-1000,midday,5s,175,22666,2472041.0,32826810.766370773,-1691278.808099199,34518089.57446997
101-1000,midday,5s,176,25052,2801849.0,35823085.94676202,-4293869.531837637,40116955.47859967
101-1000,midday,5s,177,23866,2758682.0,29180901.415654905,-7904658.369062455,37085559.78471735
101-1000,midday,5s,178,22326,2266976.0,23304501.71478183,-11862007.372551233,35166509.08733305
101-1000,midday,5s,179,27734,3073975.0,46133025.2629071,-27427390.613619614,73560415.87652673
101-1000,midday,5s,180,32318,3345243.0,40163117.6281311,-15406163.027982231,55569280.656113334
101-1000,midday,5s,181,25425,2723486.0,36902507.33483351,1426653.469245118,35475853.86558839
101-1000,midday,5s,182,27027,2902458.0,35949658.1466559,-12839287.28241767,48788945.429073595
101-1000,midday,5s,183,32338,3561073.0,51781699.72083494,10511015.597765299,41270684.123069614
101-1000,midday,5s,184,31121,3472519.0,50673819.790007845,-3927353.7309624627,54601173.52097035
101-1000,midday,5s,185,29712,3346170.0,46602770.94417835,-19132254.527277432,65735025.47145578
101-1000,open,1s,114,54444,8267798.0,312059262.2214814,-38655993.16512464,350715255.386606
101-1000,open,1s,115,52539,7162739.0,191972530.47155416,-45850541.26641542,237823071.73796958
101-1000,open,1s,116,44134,6165974.0,195857512.85833964,18952032.692975454,176905480.16536435
101-1000,open,1s,117,51361,6006056.0,99998718.71945529,-23205920.16648165,123204638.88593699
101-1000,open,1s,118,47729,6404704.0,126633564.60184847,-31562102.06332249,158195666.66517097
101-1000,open,1s,119,43997,5528396.0,120469551.43819612,-19884362.729345366,140353914.16754144
101-1000,open,30s,114,54444,8267798.0,312059262.2214815,-158090816.1604985,470150078.38197994
101-1000,open,30s,115,52539,7162739.0,191972530.47155416,-71443184.56947564,263415715.04102984
101-1000,open,30s,116,44134,6165974.0,195857512.85833967,-50362510.754369564,246220023.61270934
101-1000,open,30s,117,51361,6006056.0,99998718.71945529,-58191156.597328626,158189875.3167839
101-1000,open,30s,118,47729,6404704.0,126633564.60184844,-73696590.76894684,200330155.37079525
101-1000,open,30s,119,43997,5528396.0,120469551.43819612,-48504192.57233549,168973744.0105316
101-1000,open,5s,114,54444,8267798.0,312059262.22148144,-80695669.33379544,392754931.5552769
101-1000,open,5s,115,52539,7162739.0,191972530.47155416,-46859562.727654226,238832093.1992084
101-1000,open,5s,116,44134,6165974.0,195857512.85833973,-11681989.153988821,207539502.0123285
101-1000,open,5s,117,51361,6006056.0,99998718.71945527,-42208109.83645515,142206828.55591047
101-1000,open,5s,118,47729,6404704.0,126633564.60184848,-46164130.517093875,172797695.11894244
101-1000,open,5s,119,43997,5528396.0,120469551.43819611,-48940990.21582708,169410541.65402314
rest,close,1s,186,48945,2983606.0,57718858.65080872,1390380.9240934646,56328477.72671525
rest,close,1s,187,46528,2760269.0,94117377.07481499,24821024.532900903,69296352.54191409
rest,close,1s,188,52724,3186200.0,91705998.40510176,46239564.02339138,45466434.38171039
rest,close,1s,189,61534,3797468.0,80056600.01455806,15209483.484860469,64847116.52969757
rest,close,1s,190,100789,6379609.0,136891852.30546924,30961242.433959488,105930609.87150976
rest,close,1s,191,170141,12493602.0,332881068.7514194,143864522.52890018,189016546.22251928
rest,close,30s,186,48945,2983606.0,57718858.65080872,-6509766.583863077,64228625.2346718
rest,close,30s,187,46528,2760269.0,94117377.07481499,26585085.474934623,67532291.59988038
rest,close,30s,188,52724,3186200.0,91705998.40510178,40917377.067489006,50788621.33761273
rest,close,30s,189,61534,3797468.0,80056600.01455803,6413863.71989048,73642736.29466756
rest,close,30s,190,100789,6379609.0,136891852.30546921,6442919.39739898,130448932.90807025
rest,close,30s,191,170141,12493602.0,332881068.7514194,185089028.86064616,147792039.8907735
rest,close,5s,186,48945,2983606.0,57718858.650808714,-2098660.339340669,59817518.99014938
rest,close,5s,187,46528,2760269.0,94117377.07481499,30932555.5906937,63184821.484121285
rest,close,5s,188,52724,3186200.0,91705998.40510176,43303675.98048549,48402322.42461626
rest,close,5s,189,61534,3797468.0,80056600.01455805,12878299.605672283,67178300.40888575
rest,close,5s,190,100789,6379609.0,136891852.30546921,28384324.944037776,108507527.36143146
rest,close,5s,191,170141,12493602.0,332881068.7514194,164263213.90112057,168617854.8502989
rest,midday,1s,120,30222,2134804.0,104630574.75494081,33597319.16061747,71033255.59432332
rest,midday,1s,121,26860,1951787.0,84739532.40861154,-5731391.032649986,90470923.44126152
rest,midday,1s,122,38082,2989773.0,76126625.58903337,-5837741.3437065,81964366.93273987
rest,midday,1s,123,27193,2103431.0,91140885.33007333,14916746.204963734,76224139.12510957
rest,midday,1s,124,26258,1997114.0,103184607.25654736,8863483.822330987,94321123.43421642
rest,midday,1s,125,26142,1848618.0,350551085.59329903,257282398.53799102,93268687.05530807
rest,midday,1s,126,27596,1917664.0,59993413.496163405,-3569089.242875844,63562502.73903925
rest,midday,1s,127,27631,1939297.0,76004624.61226325,10597012.870489143,65407611.741774105
rest,midday,1s,128,25629,1863514.0,77096099.58518563,2733826.526029965,74362273.05915566
rest,midday,1s,129,22836,1536768.0,60805017.48439792,18494011.863305975,42311005.621091954
rest,midday,1s,130,25161,1763385.0,84822656.3384872,17230298.440451022,67592357.89803618
rest,midday,1s,131,25917,1820887.0,73718250.68301344,-5332428.80923943,79050679.49225287
rest,midday,1s,132,28875,1954085.0,50340801.816707574,-1526017.9184508342,51866819.73515841
rest,midday,1s,133,26164,1704316.0,60177604.09003316,9469663.415107926,50707940.67492524
rest,midday,1s,134,27945,1902809.0,70737545.6998744,15144552.399467008,55592993.300407395
rest,midday,1s,135,26479,1716079.0,59934318.70937727,-2025331.7834835334,61959650.4928608
rest,midday,1s,136,25009,1645037.0,48616021.59661966,-9024300.448028492,57640322.04464814
rest,midday,1s,137,24764,1681486.0,60388445.33353999,-6171485.179497271,66559930.51303726
rest,midday,1s,138,24853,1614498.0,40281585.99028187,-9322594.089842962,49604180.08012484
rest,midday,1s,139,22212,1526137.0,57774582.1536679,2630244.326242202,55144337.827425696
rest,midday,1s,140,26867,1732116.0,56158100.17541579,2649693.1699747033,53508407.00544111
rest,midday,1s,141,21482,1396373.0,58689774.359872654,10717328.987405986,47972445.37246666
rest,midday,1s,142,21638,1317442.0,33898073.812685736,-8253687.489802372,42151761.3024881
rest,midday,1s,143,21659,1354254.0,51709563.3142614,10508186.283024369,41201377.031237036
rest,midday,1s,144,23296,1337958.0,42449442.55022516,12271247.240869205,30178195.309355956
rest,midday,1s,145,24892,1530620.0,38096272.87420991,-6089482.606770146,44185755.48098005
rest,midday,1s,146,22643,1352287.0,34867826.78433022,182703.75542942167,34685123.02890079
rest,midday,1s,147,26490,1549609.0,37834529.439623676,-8578408.245555514,46412937.685179204
rest,midday,1s,148,21182,1299493.0,38019264.18102403,1341498.4206505327,36677765.76037349
rest,midday,1s,149,23477,1433023.0,47785991.01018419,7343013.254960428,40442977.755223766
rest,midday,1s,150,26775,1546544.0,38711265.603370234,1232504.3691492274,37478761.23422101
rest,midday,1s,151,21207,1244782.0,32929005.54521522,-7020091.308933475,39949096.8541487
rest,midday,1s,152,21154,1291713.0,44141133.41748868,18712076.450232062,25429056.96725662
rest,midday,1s,153,21248,1248201.0,35428210.35704591,1895431.0003078796,33532779.35673804
rest,midday,1s,154,21847,1218889.0,29732055.635908082,-2148609.014705773,31880664.650613848
rest,midday,1s,155,22285,1334620.0,59821718.36511369,-24877101.704230506,84698820.0693442
rest,midday,1s,156,24002,1416982.0,28419305.545949202,-5603058.495415927,34022364.041365124
rest,midday,1s,157,20982,1267800.0,29874470.38690692,-5202502.943804552,35076973.33071148
rest,midday,1s,158,19663,1149300.0,35353872.032144606,1334597.4948079106,34019274.53733669
rest,midday,1s,159,22449,1325858.0,37857287.33674547,8593137.149561591,29264150.18718388
rest,midday,1s,160,22528,1346355.0,32673989.47795113,2844399.7217168286,29829589.756234307
rest,midday,1s,161,22752,1397144.0,40452186.84360319,-5259937.892476649,45712124.73607984
rest,midday,1s,162,22855,1327210.0,37018396.727218434,-10834643.279182134,47853040.00640058
rest,midday,1s,163,23335,1279492.0,26760498.939561475,-1524804.5636930035,28285303.503254477
rest,midday,1s,164,20961,1143525.0,26272983.021254923,-3095360.909758216,29368343.931013145
rest,midday,1s,165,23621,1373186.0,33633151.22887282,582803.372993791,33050347.855879027
rest,midday,1s,166,21574,1203121.0,22630165.296735458,-1657657.8481142307,24287823.14484969
rest,midday,1s,167,23002,1377685.0,38617109.46972346,-1377067.6671751773,39994177.136898644
rest,midday,1s,168,28984,1689351.0,32752716.23336989,-7516353.924672023,40269070.15804191
