tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,close,1s,186,42982,4671915.0,48987084.346868806,-16022258.315164417,65009342.66203322
101-1000,close,1s,187,43144,4866451.0,90571018.98140188,11063534.486567635,79507484.49483424
101-1000,close,1s,188,46855,4990370.0,57554608.615373425,-8081019.444280384,65635628.0596538
101-1000,close,1s,189,55694,6760077.0,82231403.20051183,-1321419.667391476,83552822.86790334
101-1000,close,1s,190,85884,10187944.0,101360811.16079132,-5763498.611493096,107124309.77228442
101-1000,close,1s,191,146297,19815427.0,213545951.7284323,41086404.26326459,172459547.46516767
101-1000,close,30s,186,42982,4671915.0,48987084.34686881,-21668961.858715203,70656046.20558402
101-1000,close,30s,187,43144,4866451.0,90571018.98140188,-19782028.190149136,110353047.17155102
101-1000,close,30s,188,46855,4990370.0,57554608.6153734,-14168971.007471524,71723579.62284496
101-1000,close,30s,189,55694,6760077.0,82231403.20051186,-16188400.093715284,98419803.29422712
101-1000,close,30s,190,85884,10187944.0,101360811.16079131,-16866408.75110645,118227219.91189781
101-1000,close,30s,191,146297,19815427.0,213545951.72843233,80179352.38369358,133366599.34473887
101-1000,close,5s,186,42982,4671915.0,48987084.34686881,-16816096.567493074,65803180.91436189
101-1000,close,5s,187,43144,4866451.0,90571018.98140188,856785.3213586609,89714233.66004318
101-1000,close,5s,188,46855,4990370.0,57554608.61537342,-13959899.079897424,71514507.69527085
101-1000,close,5s,189,55694,6760077.0,82231403.20051186,-5996838.186391375,88228241.38690323
101-1000,close,5s,190,85884,10187944.0,101360811.16079132,-9399092.296203759,110759903.45699514
101-1000,close,5s,191,146297,19815427.0,213545951.72843227,39997451.98850557,173548499.7399268
101-1000,midday,1s,120,43306,5340355.0,117272640.27201732,-8663687.335599326,125936327.60761663
101-1000,midday,1s,121,38486,4755744.0,76441909.88012655,-28319248.588287134,104761158.46841371
101-1000,midday,1s,122,54106,7203290.0,103580590.33744425,-34795992.37580002,138376582.7132443
101-1000,midday,1s,123,42039,5285141.0,64988832.65611244,-21443879.315418158,86432711.97153059
101-1000,midday,1s,124,37684,4544833.0,71454482.91705668,-17140226.805133,88594709.72218966
101-1000,midday,1s,125,37415,4643646.0,63987222.8993785,-25689454.049669877,89676676.9490484
101-1000,midday,1s,126,33928,3978955.0,52825904.04454435,-19162707.31703705,71988611.3615814
101-1000,midday,1s,127,34013,4405237.0,70047836.48255078,-10630460.05168477,80678296.53423557
101-1000,midday,1s,128,31708,3750458.0,44929867.17959256,-15184211.336707473,60114078.51630004
101-1000,midday,1s,129,30068,3766931.0,73387866.2491575,-8687798.727881627,82075664.97703916
101-1000,midday,1s,130,30259,3787485.0,55529587.68958188,-17485259.686233833,73014847.3758157
101-1000,midday,1s,131,30773,3989690.0,77680443.84432536,-20829237.286609605,98509681.13093501
101-1000,midday,1s,132,34567,4194233.0,61619583.55949932,-41682749.16189868,103302332.72139801
101-1000,midday,1s,133,31209,3960977.0,56141332.6114614,-25609562.9307879,81750895.54224929
101-1000,midday,1s,134,29965,3424438.0,43460119.26103415,-16267703.507274285,59727822.76830843
101-1000,midday,1s,135,28148,3436712.0,50614832.0528942,-19687799.154812552,70302631.20770675
101-1000,midday,1s,136,27636,3141270.0,48062034.97994616,-11180475.742199589,59242510.722145766
101-1000,midday,1s,137,28828,3412453.0,43311844.40268836,-20860433.304416243,64172277.70710461
101-1000,midday,1s,138,29273,3671395.0,42334603.561005205,-24065123.687611658,66399727.24861683
101-1000,midday,1s,139,24897,3048185.0,48587088.90323614,-28846524.90772722,77433613.81096338
101-1000,midday,1s,140,27993,3162822.0,39125772.363678925,-9395494.400409918,48521266.76408884
101-1000,midday,1s,141,25026,2680081.0,40224269.90885134,-2702798.137138046,42927068.04598937
101-1000,midday,1s,142,25001,2676622.0,33458974.24540229,-17948567.534143887,51407541.77954617
101-1000,midday,1s,143,23832,2532806.0,38417969.51200612,-18761895.025085095,57179864.53709123
101-1000,midday,1s,144,25150,2675519.0,41728233.97631429,-15534883.275156185,57263117.25147047
101-1000,midday,1s,145,23992,2603684.0,35334675.45143957,-9408487.079044217,44743162.53048379
101-1000,midday,1s,146,23713,2491912.0,34909809.15409999,-16089566.332825022,50999375.486925006
