tier,session,symbols,beta_med,beta_q1,beta_q3,r2_in_med,r2_out_med,r2_out_q1,r2_out_q3,share_r2_out_pos
top100,open,100,0.2991276831367602,0.05649093457561069,0.9663159324783134,0.5592173646700836,0.5786781758529387,0.2607601619647224,0.7489880928032598,0.92
top100,midday,100,0.18507722933716375,0.03428590204174346,0.7961564476093056,0.6341243825977554,0.5833467788155653,0.31318605349501155,0.6903161984797415,0.95
top100,close,99,0.09412224136314358,0.02298098219340484,0.6064333683882058,0.6666582556777579,0.2710387488807384,-0.34294469412956063,0.6251438567686844,0.6767676767676768
101-1000,open,891,1.0083105023056387,0.24116785909970945,4.288958795914206,0.4135633061361655,0.42154097207012875,0.1697375018204923,0.6186934534804396,0.8451178451178452
101-1000,midday,896,0.49379202989270343,0.10526497067197156,1.7483446455576999,0.5479877495280241,0.4663542592340556,0.2877470629325767,0.6456230901669645,0.9330357142857143
101-1000,close,879,0.33371581804908984,0.09074170656923519,1.2847722272963813,0.6248517274834843,0.2378425676785133,-0.4708387399521292,0.526376945792384,0.6313993174061433
rest,open,5789,1.6342131833261215,0.4348863743518253,8.91289682913332,0.2496559271181878,0.18665630543127465,-0.01941200225290346,0.4577678687913328,0.7099671791328381
rest,midday,8467,1.6119193430082501,0.40008856337858517,6.9199888333616055,0.25678861702450406,0.20165757154238612,0.030880222409574443,0.4221658850907581,0.7905987953230188
rest,close,5799,1.219270458579558,0.34516979012771537,4.790967271597026,0.33297589398960725,0.13123099918336534,-0.08309330531079107,0.3498028789794243,0.6778754957751336
