sym,session,n_in,n_out,beta,r2_in,r2_out
CGCV,open,737,269,0.00022241839091875982,0.40059306554494745,0.30173471928062245
CGDG,close,394,183,0.00012898196140526233,0.1226598864773282,-1.2700560477893013
CGDG,midday,5987,2072,6.278356437144446e-05,0.14959547533038822,0.2058024964284525
CGDG,open,282,272,0.00024645599360653486,0.5738428163706456,-1.0482684522062136
CGDV,close,382,284,7.11114308030285e-05,0.2599258337963605,0.3385776677311103
CGDV,midday,6821,2415,6.74408920021129e-05,0.39369268499004617,0.40169938564557073
CGDV,open,947,399,0.00012881193140959005,0.1759678099623185,0.03680848547513449
CGEM,close,394,350,0.001959995564497732,0.6470654980597785,-1.8340674059594901
CGEM,midday,2017,974,0.001747610336875432,0.15034014309971977,0.4013084607889774
CGEM,open,164,52,0.00737426573857554,0.46371412203730544,0.7335650471989783
CGEN,close,80,97,,,
CGEN,midday,313,202,0.0001620625858078389,0.20671525306816194,0.22113427020877008
CGGE,close,478,243,0.00017999177624614704,0.20868751197125465,-0.22599862157599326
CGGE,midday,6570,2291,9.776315297231862e-05,0.2506797711775813,0.26092001111910623
CGGE,open,698,385,0.0001936058190603693,0.27396585418519415,-0.027580042208366073
CGGG,close,107,134,5.683921592268589e-05,0.1778001723081518,0.11224216236438189
CGGG,midday,906,232,8.725309847673572e-05,0.09356773575589919,0.11598535049563541
CGGG,open,175,37,4.664537802892321e-05,0.016204939668209593,0.14974930619134164
CGGO,close,221,133,0.0006309127283854221,0.14700591743245378,0.035124976777052286
CGGO,midday,4208,1129,0.00038544429810380047,0.030244296326211083,0.24625380701303212
CGGO,open,550,298,0.00026916028202702717,0.023476332910156293,0.23369072582313388
CGGR,close,891,379,5.267729160382485e-05,0.23428237209832392,0.48470759242696904
CGGR,midday,10989,3974,9.079499547050334e-05,0.4774782054364849,0.5229414135181891
CGGR,open,1060,517,0.00010950339925557138,0.2726809201184128,0.3974563866297103
CGHM,midday,368,109,0.00014745316836292793,0.3872120201210487,0.11903037941547678
CGHM,open,43,20,0.0002751820904559361,0.32003677120025364,
CGIC,close,193,155,2.356055208334771e-05,0.002279713463669716,-0.0005654437479027941
CGIC,midday,2862,724,5.855815003200271e-05,0.020361992222553162,0.007494787347832044
CGIC,open,358,159,0.0004528785361327493,0.23600003716251047,-0.06596235214964818
CGIE,close,214,148,0.00011742352981724008,0.04694887310146247,0.04947185212024097
CGIE,midday,3449,1040,0.00012039823613331178,0.11082353248097007,0.16261041017515676
CGIE,open,312,194,0.00045704193183514826,0.07579713008592298,-0.1349507547439175
CGMM,close,561,328,3.780276284211861e-05,0.16458185938306727,0.3267691762086984
CGMM,midday,7382,2626,6.512284209237614e-05,0.41794769622286826,0.26302768330563164
CGMM,open,758,337,0.0001379815450642902,0.29234072726874677,-0.014244611205553648
CGMS,midday,462,105,9.484657485724752e-05,0.2201778540390578,0.43007729605076894
CGMS,open,81,34,0.00010272693754689261,0.12308234128802062,0.4179417305578955
CGMU,close,53,13,0.00024934075712368305,0.08374845333848237,0.4157873432762066
CGMU,midday,292,83,0.00021594176884053167,0.04556210195446632,0.5925249597344946
CGNG,close,391,177,0.0003404884104770767,0.10368538511805146,-0.2609595102114646
CGNG,midday,6240,2014,0.00022486052503579616,0.15292638987584012,0.2946660218187803
CGNG,open,368,253,0.0003747262959734564,0.39312537093083544,0.21188732283199485
CGNT,close,249,249,0.0019360793207970366,0.8364217409688841,-8.41051989820417
CGNT,midday,1407,648,0.00047716833115073236,0.36017247496980165,0.43142621822186866
CGNT,open,171,115,0.0002927596459620264,0.10844063944274603,0.1459594020335575
CGNX,close,441,387,0.0011704054227574489,0.5158255505927355,0.3985907668761155
CGNX,midday,2451,1187,0.002708183031718426,0.37904809224273256,0.3552933510129199
CGNX,open,131,31,0.004945116504862664,0.23799995606313956,0.13170675442872892
CGO,midday,564,164,0.0002067538717922414,0.14871189981140553,-0.05408865874908164
