tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,midday,1s,169,36922,3587648.0,37640529.98273162,-8570044.626527837,46210574.609259464
101-1000,midday,1s,170,35554,3197514.0,25766762.63837919,-6452181.624185109,32218944.262564298
101-1000,midday,1s,171,36192,3474907.0,30795142.138440624,-16983987.76468691,47779129.90312753
101-1000,midday,1s,172,34462,3350239.0,30305673.754414733,-12171211.02052879,42476884.77494352
101-1000,midday,1s,173,34666,3569762.0,38621243.86944707,-2314964.252997364,40936208.122444436
101-1000,midday,1s,174,33834,3276635.0,26744620.692891177,-9377062.417898487,36121683.11078967
101-1000,midday,1s,175,34202,3603321.0,28332990.002467122,-13013586.268401131,41346576.27086826
101-1000,midday,1s,176,113638,14460449.0,133113356.19956025,-53998915.30275027,187112271.50231054
101-1000,midday,1s,177,74856,8482916.0,61802799.072566435,-28350445.742336974,90153244.81490341
101-1000,midday,1s,178,47028,4728878.0,33494984.9034676,-13542973.559359597,47037958.4628272
101-1000,midday,1s,179,62474,6516578.0,51224927.28399234,-16749630.285526007,67974557.56951834
101-1000,midday,1s,180,66008,6774319.0,48267441.283442035,-20049704.291988105,68317145.57543014
101-1000,midday,1s,181,55225,5611026.0,43556213.74061728,-21020839.990472484,64577053.73108977
101-1000,midday,1s,182,51165,4943433.0,41119475.26076761,-12011898.607178852,53131373.86794647
101-1000,midday,1s,183,57190,5502928.0,42652130.307294145,-10813853.309788276,53465983.617082424
101-1000,midday,1s,184,59456,6198584.0,48831132.07025962,-20550464.382754683,69381596.4530143
101-1000,midday,1s,185,65076,6663266.0,53323619.00404325,-15231980.334126776,68555599.33817
101-1000,midday,30s,120,62712,7092073.0,98161691.14410289,-77481715.65098819,175643406.79509115
101-1000,midday,30s,121,56974,6620468.0,84275174.98219578,-48540499.98765242,132815674.96984823
101-1000,midday,30s,122,55582,6104817.0,70468965.24651548,-37438662.96082667,107907628.20734216
101-1000,midday,30s,123,55678,6646114.0,113551805.46035346,-67461313.68947093,181013119.14982423
101-1000,midday,30s,124,50977,5854378.0,118152490.74271666,-15134177.706228111,133286668.44894475
101-1000,midday,30s,125,46168,5145600.0,64494762.63650624,-25362833.308382344,89857595.94488862
101-1000,midday,30s,126,58407,6476908.0,81524537.21079564,-34781409.039734125,116305946.25052978
101-1000,midday,30s,127,56762,6063535.0,66355477.360118896,-29746727.491183925,96102204.85130282
101-1000,midday,30s,128,54866,6156636.0,82675823.04053335,-33495041.271594804,116170864.31212816
101-1000,midday,30s,129,57454,6572374.0,93390073.23213907,-63783118.96636002,157173192.19849905
101-1000,midday,30s,130,59762,6908739.0,85221772.56299362,-44407895.92949553,129629668.49248914
101-1000,midday,30s,131,55241,6300532.0,68472123.24923699,-27442019.138275456,95914142.38751245
101-1000,midday,30s,132,51621,5838267.0,73895628.86229275,-42439767.017040074,116335395.87933281
101-1000,midday,30s,133,46474,5063628.0,72291173.87749675,1867773.6806710775,70423400.1968257
101-1000,midday,30s,134,49213,5467846.0,71577067.24254045,-34367974.217712454,105945041.46025288
101-1000,midday,30s,135,45117,4925230.0,55069822.70762451,-15717091.345473262,70786914.05309777
101-1000,midday,30s,136,45123,4312696.0,41462514.70777878,-14973497.8479939,56436012.55577268
101-1000,midday,30s,137,42636,4320503.0,42126955.41178573,-6092665.08224619,48219620.49403192
101-1000,midday,30s,138,45780,4850280.0,50866308.30694876,-17221296.048698477,68087604.35564727
101-1000,midday,30s,139,44091,4776450.0,182031219.21132857,111139745.41194466,70891473.79938394
101-1000,midday,30s,140,42383,4323510.0,169582043.86845648,90410376.10206762,79171667.76638888
101-1000,midday,30s,141,43915,4557557.0,46408150.26846049,-9359085.742915297,55767236.01137581
101-1000,midday,30s,142,37416,3949870.0,41972464.2236264,-20092110.153760817,62064574.37738723
101-1000,midday,30s,143,37010,3716320.0,43221737.69892282,2610170.653311593,40611567.045611195
101-1000,midday,30s,144,34023,3251486.0,36670066.97815781,-16404837.66816451,53074904.64632232
101-1000,midday,30s,145,35759,3816977.0,43393739.189860575,-17513820.24276557,60907559.43262613
