tier,session,symbols,beta_med,beta_q1,beta_q3,r2_in_med,r2_out_med,r2_out_q1,r2_out_q3,share_r2_out_pos
top100,open,100,0.11973349713657527,0.020997733891322597,0.430118849086827,0.5101852637741937,0.4737111933793202,0.2489304055332366,0.6157025181024014,0.94
top100,midday,100,0.05659818958869051,0.009356077011786163,0.27387304787329986,0.6052734980159447,0.57808885491534,0.44151760995250056,0.6636747089545207,0.99
top100,close,98,0.03913744839082474,0.007706987603782245,0.18342931938040763,0.6624860400611281,0.3446429114584526,0.12382192009076276,0.5575466609929737,0.7959183673469388
101-1000,open,890,1.0752317175088646,0.19766119629717566,4.894893899751846,0.3657949562566847,0.3034418113735239,0.06014965382334972,0.48569478571180963,0.7820224719101123
101-1000,midday,898,0.4884645369892445,0.10283513586233262,2.2725257113306805,0.5043806498265058,0.5143133763613124,0.3378331925062322,0.6112573602036929,0.9576837416481069
101-1000,close,879,0.35793215718886495,0.06726017798283945,1.6473418847583337,0.6031309841099569,0.29514733311230046,-0.13821855854132914,0.4872886637575704,0.6985210466439136
rest,open,4093,3.0614252438737233,0.7150937212572287,10.5,0.18851782175985957,0.09609825488093865,-0.12401373046302366,0.33180138742650067,0.6105546054238945
rest,midday,6014,1.7594843760760217,0.48767751729502373,5.871971001697433,0.20166029844396927,0.16879887407077243,0.033438630123571345,0.36537294587377317,0.8244097106750915
rest,close,4267,1.551037084833452,0.43377607758970793,4.8151442248294245,0.2848369312521832,0.08008063351853312,-0.04265302738312493,0.3207416781815168,0.6627607218186079
