sym,session,n_in,n_out,beta,r2_in,r2_out
EQAL,close,160,114,0.00046232874445037344,0.7143667045293269,0.5674343837789434
EQAL,midday,1555,417,0.0003612605085365775,0.28401194765924204,0.5202932850253873
EQAL,open,230,88,0.00027084666697472294,0.08355961257511102,-0.20694413617237983
EQBK,close,98,84,0.005891112504220777,0.16334376087491778,0.360165109546689
EQBK,midday,914,182,0.0050790937731999145,0.061786684514988886,-0.20133405293861073
EQC,close,192,149,0.0017271997044623372,0.18817403460514545,-0.012972969152719616
EQC,midday,1189,411,0.0022039874382665707,0.12994182354300576,0.3049629477171618
EQC,open,114,67,0.008290693507406311,0.0969515132743042,-0.2575961490211396
EQH,close,464,316,0.0002205378425438554,0.7726102551548477,0.776976438528303
EQH,midday,4572,1567,0.0003354340818003573,0.5386619211579364,0.6188774397285373
EQH,open,327,188,0.0011567046629269429,0.49389988036008126,0.36316717162521384
EQH-A,close,54,26,0.026987840191271185,0.06381665662775098,0.08196947328080806
EQH-A,midday,191,133,0.021299554721359394,0.11199473720200365,0.12546107602035605
EQIX,close,274,309,0.03354039184509178,0.5355142981522798,-0.4922652451471632
EQIX,midday,2588,1024,0.050366048121472946,0.3142397341753611,0.08104443299022679
EQIX,open,117,92,0.152382378965532,0.37775898086609316,0.4248233861322671
EQM,close,198,229,0.003320266037045529,0.20944506182336756,-0.08235256078294895
EQM,midday,1457,586,0.0022214877598625664,0.06985589547629506,0.168425818629093
EQM,open,117,58,0.00464475590999541,0.044248129036913726,-0.10171647544687934
EQNR,close,378,290,5.6204246713165074e-05,0.6521017497142493,0.4859039275507113
EQNR,midday,3640,1137,7.189448859761925e-05,0.5059619965062857,0.546035919943543
EQNR,open,701,252,5.221703042846361e-05,0.3600081587546273,0.4814957170254385
EQR,close,663,396,0.001398431568942541,0.6702072354162195,0.5569784432376715
EQR,midday,4870,1752,0.0021147124402361123,0.5600969515079526,0.4119309507552842
EQR,open,470,200,0.0034025369783033704,0.513688180153475,0.7045934393831492
EQRR,close,31,31,0.001145216578373325,0.5489570772419959,0.4314059212878688
EQRR,midday,392,94,0.0009339597853268794,0.5972494981973726,0.678514751573526
EQRR,open,145,45,0.0010647791818811007,0.16046938133278044,0.29493368822371224
EQS,midday,174,11,0.009938725629313198,0.9620705322445857,-0.34679852631125274
EQT,close,888,462,6.355007008233172e-05,0.7199927526123803,0.553694229928037
EQT,midday,8377,3481,0.00011093799319662535,0.6297940772901954,0.617622463393787
EQT,open,540,331,0.00038346395815173543,0.48355066566073235,-0.19898792881681637
EQX,close,105,60,0.00018799595140329812,0.06398438776818786,0.03939239667460048
EQX,midday,1052,432,0.0010807943123094098,0.42127657469459123,0.0011500108799605835
EQX,open,77,60,0.00592303591918109,0.31801194505716057,-5.5384065063740335
ERA,close,91,77,0.0037556450610055103,0.14668949217195867,-0.014022547703048227
ERA,midday,736,789,0.002446882060155527,0.10603784115271792,-0.3146210527717288
ERF,close,282,133,8.13469402112049e-05,0.22594447015440075,0.1672375503796546
ERF,midday,3073,1205,0.0001240209078927363,0.34420626712017727,0.17518996318154767
ERF,open,417,258,0.00027228594915898826,0.4337678678335776,-0.04325297947046036
ERI,close,367,329,0.0023436711399975794,0.5773759477483926,-0.09222782065476753
ERI,midday,2739,1179,0.003326931067162434,0.4639091569076885,0.5054583470480627
ERI,open,258,107,0.0049824733783691184,0.23096494203874834,0.46603865143331624
ERIC,close,404,315,,,
ERIC,midday,4421,1326,3.138982709652611e-06,0.6366072429610106,0.5186875713060828
ERIC,open,686,246,4.912039359302965e-06,0.4476513308690707,0.6296936991839557
ERIE,close,206,178,0.00613590326634021,0.08187558725511711,0.07548826246103124
ERIE,midday,1571,861,0.008614338067029798,0.13686494359125131,0.17869460742412213
ERIE,open,106,71,0.02444222710163085,0.5074373860564978,0.12063347490507559
