tier,session,n,cancel_share,filled,anomaly,median_ahead0,median_orders0,censor_moved,censor_exhausted,censor_T,censor_eod,p_fill_1s,p_fill_upper_1s,p_fill_5s,p_fill_upper_5s,p_fill_30s,p_fill_upper_30s,p_fill_60s,p_fill_upper_60s
top100,open,44426,0.8897429700105968,0.11781389276549768,0.0,1500.0,4.0,0.4836807275019133,0.3228965020483501,0.07560887768423896,0.0,0.012245081708909197,0.1990951244766578,0.03979651555395489,0.3037410525368028,0.09546211677846306,0.4121010219240985,0.11781389276549768,0.4407103948138478
top100,midday,411170,0.8905216872183889,0.1276698202689885,0.0,1970.0,6.0,0.4326847775859134,0.28369774059391495,0.1559476615511832,0.0,0.007624583505605954,0.13619427487413965,0.03210594158134105,0.23950920543813994,0.0973879417272661,0.3691125325291242,0.1276698202689885,0.41136756086290344
top100,close,45314,0.8683557603899109,0.20883170764002296,0.0,2624.0,7.0,0.42326874696561767,0.22085889570552147,0.140729134483824,0.006311515205013903,0.012402348060202146,0.11464448073443086,0.05881184622853864,0.22979653087346075,0.1655117623692457,0.38045637109943947,0.20883170764002296,0.42969060334554443
101-1000,open,25352,0.7329406250324946,0.08038813505837804,0.0,300.0,2.0,0.49053329125907225,0.35141211738718836,0.07766645629536131,0.0,0.003786683496371095,0.1413695171978542,0.014910066266961187,0.2414010728936573,0.05683969706532029,0.3871489428841906,0.08038813505837804,0.4318002524455664
101-1000,midday,242122,0.8065840211896129,0.10092432740519243,0.0,606.0,5.0,0.3810103997158457,0.2393256292282403,0.2787396436507215,0.0,0.002461568961102254,0.0758460610766473,0.011023368384533418,0.1408917818289953,0.06108490760856097,0.2795780639512312,0.10092432740519243,0.3402499566334327
101-1000,close,33642,0.7483256413138728,0.19915581713334524,0.0,1206.0,7.0,0.37007312288211164,0.16455620950002972,0.2582188930503537,0.007995957434159682,0.006301646751084953,0.0711313239403127,0.02933832709113608,0.1403602639557696,0.14101420842993875,0.2979311574817193,0.19915581713334524,0.36371202663337493
rest,open,10130,0.9710332982856328,0.013129318854886475,0.0,200.0,2.0,0.4558736426456071,0.37620927936821325,0.1547877591312932,0.0,0.0006910167818361303,0.10967423494570583,0.002171767028627838,0.19318854886475814,0.009772951628825272,0.3466929911154985,0.013129318854886475,0.3893385982230997
rest,midday,91860,0.9756513661139188,0.022055301545830613,0.0,400.0,2.0,0.38479207489658174,0.32642064010450683,0.2667319834530808,0.0,0.0009470934030045722,0.07689962987154365,0.0021989984759416504,0.13797082516873505,0.011876768996298715,0.28359460047898977,0.022055301545830613,0.34847594165033746
rest,close,13076,0.9368898202965011,0.08626491281737535,0.0,500.0,3.0,0.37259100642398285,0.31362802080146834,0.21948608137044967,0.008029978586723769,0.0017589476904252064,0.08114102171918018,0.009177118384827165,0.15608748852860202,0.05055062710308963,0.3188283878862037,0.08626491281737535,0.3998929336188437
