sym,session,n_in,n_out,beta,r2_in,r2_out
A,close,831,461,0.001600722712044423,0.587112647839008,0.4754488337710998
A,midday,4207,2244,0.0040957278966694865,0.5441235057662742,0.42113682130326247
A,open,493,228,0.009547689585320013,0.367096070150175,0.2887585619123194
AA,close,800,432,0.00021164058663376354,0.6302630308644965,0.2953709882584056
AA,midday,7759,3437,0.0002592309983673802,0.6624571876971165,0.7022719705333346
AA,open,677,358,0.00037770364351702625,0.18133070378085558,0.6637087180937807
AAAU,close,472,120,3.4622639895000765e-05,0.6933138584532877,0.11513809048711521
AAAU,midday,4553,2212,0.00013399132148466213,0.2642045330511415,0.2969144667133099
AAAU,open,701,96,6.470951739897338e-05,0.3803393310490355,0.20250144745732357
AACG,midday,35,15,0.0024907409721464063,0.17258222241269366,0.09848023006727602
AAL,close,1104,514,0.00015056501577151283,0.7674285826681533,-0.0348438720833375
AAL,midday,9688,4129,0.0002982003256681688,0.6674901700820401,0.6188866658961569
AAL,open,909,444,0.0006385860859945452,0.6032256780215286,0.7706060822807753
AAN,close,429,194,0.0033130852517794197,0.2109050089171148,0.3138831386511375
AAN,midday,2284,1300,0.0098527156921966,0.21914957305895952,0.17959562885465052
AAN,open,178,65,0.01564693361549298,0.07371607934192527,0.07764286880059179
AAOI,close,414,190,0.0009465455632962871,0.4207343728460321,-3.406444893005422
AAOI,midday,2310,1175,0.0006497316349814845,0.28850629972479197,0.23167510913137934
AAOI,open,260,105,0.0019587085799554534,0.27189426754937573,0.4594792783505445
AAON,close,334,87,0.00040168710810182504,0.00130943137182254,0.019884031574633698
AAON,midday,2060,919,-0.0005756207305138921,0.0026732427880885525,0.016227475968463523
AAON,open,163,14,0.010074158850075378,0.0386366364889567,-10.240548672815695
AAP,close,564,294,0.007606974817319824,0.4833647331243669,0.515797983729683
AAP,midday,2956,1772,0.010237709781270084,0.3174163108558389,0.3828378401222734
AAP,open,408,125,0.024866682199985363,0.29446856492481976,0.3496644145589919
AAPL,close,1253,538,0.0020406011363815167,0.6773872214991017,-0.7875294968476079
AAPL,midday,13329,5678,0.002094977207561932,0.6337071802252942,0.6627907397549032
AAPL,open,1250,535,0.0021913654707916056,0.48880444649526517,0.5977707455780843
AAT,close,296,202,0.00826287352347791,0.17422707268077722,-0.0127045200554603
AAT,midday,1887,1069,0.008116505233764743,0.0966079040685331,0.20315649947815495
AAT,open,136,78,0.013188670202625779,0.017744969473052062,0.12047713447050867
AAWW,close,471,236,0.0010525915834257295,0.1439863648930731,0.2680651660429053
AAWW,midday,2226,1314,0.0004567737443643327,0.012928651599607694,0.08895884906646934
AAWW,open,196,71,0.0017365166492006455,0.0896990831682091,0.07774708351083304
AAXJ,close,1041,437,0.0005281109475199489,0.6168809420305134,-0.018475658207781853
AAXJ,midday,10225,4334,0.00041754388511768323,0.41220794088951934,0.40417916062207826
AAXJ,open,1103,447,0.0004474125552013007,0.32370157510368314,0.2609288695337889
AAXN,close,396,222,0.004953172818594132,0.34312327867878895,0.2072981446950417
AAXN,midday,2261,1009,0.005725866115803563,0.25396276547789476,0.16307889394635322
AAXN,open,293,82,0.011660098739778444,0.22726576637955598,0.1644612067883081
AB,close,144,93,0.010702660058053409,0.12500342797121175,-0.005289278952834486
AB,midday,685,508,0.014536638308997124,0.12825222345450918,0.20936794184903795
AB,open,52,32,0.04922696021008813,0.41805873297538587,0.18406550621594764
ABB,close,832,416,3.3804266525471144e-05,0.6185904787637412,0.563817666450966
ABB,midday,7569,3040,3.98041043529815e-05,0.5656551222622992,0.5630678371134845
ABB,open,875,352,6.405077856119034e-05,0.6467502829463038,0.5178106980237965
ABBV,close,1148,526,0.00027448528638325146,0.33176926543422747,0.36630618040156215
ABBV,midday,10588,4732,0.00117452162550545,0.6571948788198685,-5.6677978401108975
ABBV,open,964,465,0.00289184601758144,0.5854093082413421,0.5033314298236241
ABC,close,555,361,0.00479442106422189,0.47910823110977563,0.4925701321903395
ABC,midday,3224,1894,0.010342791699368433,0.46288794466222816,0.24761060336659468
ABC,open,226,173,0.04563852385484683,0.2624336767295916,-0.9411965903216575
ABCB,close,459,292,0.0019693447280237086,0.46451364154714225,-0.18038229261219674
ABCB,midday,1971,1481,0.0012713617588753778,0.036437165620354095,0.13999063999776118
ABCB,open,251,71,0.002532131798482631,0.03654860699934592,-0.16513213037977392
ABDC,midday,133,50,0.0014698511199387203,0.09245550122217881,0.24163654668482393
ABEO,close,123,123,0.00014233509506158325,0.7146616987034932,0.531959699576805
ABEO,midday,1115,721,0.00011223318736302446,0.6169405074493636,0.6693688655761033
