tier,session,n,cancel_share,filled,anomaly,median_ahead0,median_orders0,censor_moved,censor_exhausted,censor_T,censor_eod,p_fill_1s,p_fill_upper_1s,p_fill_5s,p_fill_upper_5s,p_fill_30s,p_fill_upper_30s,p_fill_60s,p_fill_upper_60s
top100,open,63040,0.7118473836881681,0.12638007614213198,0.0,480.0,4.0,0.514863578680203,0.3423381979695431,0.016418147208121826,0.0,0.028426395939086295,0.274381345177665,0.06878172588832487,0.38113895939086295,0.11746510152284265,0.4562024111675127,0.12638007614213198,0.4687182741116751
top100,midday,615078,0.8337405281062141,0.15195633724503232,0.0,701.0,5.0,0.46862024003459724,0.29305714072036393,0.0863662820000065,0.0,0.01638003635311294,0.18638936850285656,0.05166174046218528,0.2999717109049584,0.12478092209443355,0.41314922660215453,0.15195633724503232,0.44501347796539625
top100,close,59214,0.8043065276340075,0.22869591650623164,0.0,1220.5,8.0,0.4525281183503901,0.20886952409903065,0.1069510588712129,0.0029553821731347317,0.03936569054615462,0.17536393420474888,0.10218867159793292,0.28577701219306245,0.20116864255074812,0.40579930421859695,0.22869591650623164,0.43756544060526226
101-1000,open,36580,0.8416907509867626,0.0878622197922362,0.0,132.0,2.0,0.5262985237834883,0.35606889010388193,0.02977036632039366,0.0,0.008802624384909787,0.2095680699835976,0.02780207763805358,0.310388190267906,0.07151448879168945,0.41826134499726625,0.0878622197922362,0.4439311098961181
101-1000,midday,342946,0.87578317105456,0.10890344252447907,0.0,216.0,4.0,0.4554069736926513,0.3017734570457157,0.13391612673715395,0.0,0.006030103864748386,0.15137951747505438,0.023785085698623108,0.24182815953532044,0.08268357117447062,0.37065310573676324,0.10890344252447907,0.4106768995701947
101-1000,close,40936,0.7454441686839965,0.20700605823724838,0.0,473.5,5.0,0.4444987297244479,0.22347078366230214,0.12001661129568106,0.005007817080320501,0.01592730115301935,0.14261285909712723,0.06275649794801641,0.24838772718389682,0.17016806722689076,0.3909517295290209,0.20700605823724838,0.43047684189955054
rest,open,7708,0.848947089983442,0.019200830306175403,0.0,100.0,1.0,0.4504411001556824,0.389724961079398,0.14063310845874416,0.0,0.001427088738972496,0.1813700051894136,0.0033731188375713543,0.26816294758692266,0.014270887389724962,0.36987545407368966,0.019200830306175403,0.40892579138557344
rest,midday,62906,0.6713303673692668,0.04371602072934219,0.0,100.0,1.0,0.40368168378215114,0.2962197564620227,0.25638253902648395,0.0,0.00141480939814962,0.0889581280005087,0.0038788032938034526,0.16500810733475343,0.024941976917941054,0.2915779098973071,0.04371602072934219,0.3399357771913649
rest,close,9602,0.43876529608536846,0.14382420329098106,0.0,222.0,3.0,0.40168714851072695,0.2105811289314726,0.22724432409914602,0.0166631951676734,0.0049989585503020205,0.07508852322432827,0.024265777962924392,0.14830243699229329,0.10414496979795876,0.2982711935013539,0.14382420329098106,0.35440533222245363
