tier,session,symbols,beta_med,beta_q1,beta_q3,r2_in_med,r2_out_med,r2_out_q1,r2_out_q3,share_r2_out_pos
top100,open,100,0.035411369953124404,0.010547014332920587,0.32360561948955,0.4815334805347691,0.4176031903385941,0.1413074032462835,0.5983062613211636,0.83
top100,midday,100,0.024095252711736834,0.005747730924132336,0.17654413160615,0.5215674933142382,0.4827963507046299,0.29394878301653105,0.6207508922119825,0.93
top100,close,98,0.01954310854683989,0.0050364892329625415,0.126584199551925,0.6114180664865617,0.37179317729194233,0.09161033724797026,0.5956052169529136,0.7959183673469388
101-1000,open,885,0.7053240589246,0.162887919386,3.2519794659928,0.394804799862769,0.3176272220569609,0.0652201727619501,0.5118408427418342,0.7796610169491526
101-1000,midday,898,0.2982359933094,0.07830942080533536,1.553504255677325,0.4890954682608408,0.42839744632922794,0.2539626778294626,0.5580661265530265,0.9298440979955457
101-1000,close,849,0.23085149812150002,0.05872721669630284,1.0945819096209,0.6007634550509962,0.2887563453031802,-0.035443130518109794,0.5392953936010417,0.7055359246171967
rest,open,3984,3.475118455275,0.8094989661236001,12.241560089045725,0.19675182401075414,0.074747008219553,-0.1698823805462335,0.3043171854709111,0.5903614457831325
rest,midday,5789,1.8069741797438998,0.4917122195283,5.7490572505999005,0.2039452897490878,0.1363602652253067,0.0073195212547087244,0.3221368564088406,0.7626533079979271
rest,close,3969,1.5169859454403,0.4513682111767,4.778969980894,0.2838901072472691,0.0577715819224583,-0.0372311689853607,0.30790143065990416,0.6389518770471151
