tier,session,side,n,cancel_share,filled,anomaly,median_ahead0,median_orders0,censor_moved,censor_exhausted,censor_T,censor_eod,p_fill_1s,p_fill_upper_1s,p_fill_5s,p_fill_upper_5s,p_fill_30s,p_fill_upper_30s,p_fill_60s,p_fill_upper_60s
top100,open,B,27730,0.9092060438515548,0.15326361341507394,0.0,800.0,4.0,0.5066714749368915,0.31849981968986657,0.02156509195816805,0.0,0.01976199062387306,0.20331770645510278,0.06357735304724126,0.3335016227912009,0.1428777497295348,0.4583122971510999,0.15326361341507394,0.4717634331049405
top100,open,S,27730,0.8732916527463033,0.1426974395961053,0.0,700.0,4.0,0.5078254597908403,0.32441399206635413,0.025063108546700325,0.0,0.017490082942661377,0.20667147493689145,0.05903353768481789,0.33487197980526506,0.1268301478543094,0.44890010818608006,0.1426974395961053,0.46711143166245944
top100,midday,B,271348,0.9158395956263727,0.17904683284933,0.0,1400.0,7.0,0.4613706384421481,0.2652940135914029,0.09428851511711897,0.0,0.011055913439568377,0.12959373203414065,0.047079764730162,0.24181125344575968,0.14404012559517668,0.4009537567993868,0.17904683284933,0.4443408464407329
top100,midday,S,271348,0.9141814010874713,0.16991096304376668,0.0,1316.0,6.0,0.4553967598803013,0.275716054660436,0.09897622241549597,0.0,0.009570735734186358,0.13394607662485075,0.041975618025561275,0.24730972772970503,0.135681855034863,0.4044105724014918,0.16991096304376668,0.4456270177042027
top100,close,B,28748,0.8997815379948275,0.24293863920968414,0.0,2599.0,9.0,0.49060804229859467,0.16832475302629749,0.0950326979268123,0.0030958675386113816,0.02135800751356616,0.11628635035480729,0.08675386113816613,0.2291985529428134,0.2059969389174899,0.37195631000417423,0.24293863920968414,0.41126339223598163
top100,close,S,28748,0.7753490034843995,0.3011687769583971,0.0,2600.0,9.0,0.38413106998747737,0.2039098372060665,0.10912063447892027,0.0016696813691387227,0.020801447057186586,0.13211353833310144,0.08915402810630305,0.2556699596493669,0.24947822457214414,0.4473006817865591,0.3011687769583971,0.5050786141644636
101-1000,open,B,15101,0.9288705060670852,0.07039268922587909,0.0,297.0,2.0,0.5283093834845375,0.35361896563141515,0.04767896165816833,0.0,0.004569233825574465,0.16383020991987285,0.019667571683994436,0.26726706840606584,0.05502946824713595,0.39010661545593006,0.07039268922587909,0.4240116548572942
101-1000,open,S,15101,0.922172082191278,0.07138600092709092,0.0,300.0,2.0,0.5197669028541156,0.36090325144030194,0.04794384477849149,0.0,0.007284285808886829,0.16700880736375073,0.023640818488841798,0.27282961393285216,0.05887027349182174,0.40196013509039136,0.07138600092709092,0.4322892523673929
101-1000,midday,B,139468,0.931402756660705,0.09866779476295638,0.0,407.0,4.0,0.42234777870192447,0.2786373935239625,0.2003470330111567,0.0,0.0036495826999741877,0.10897840364814868,0.016692001032494908,0.18982132101987553,0.07014512289557462,0.32808959761378953,0.09866779476295638,0.37730518828691884
101-1000,midday,S,139468,0.9334950084570354,0.11949694553589355,0.0,406.0,4.0,0.4174004072618809,0.2641824647947916,0.19892018240743398,0.0,0.004545845642011071,0.10569449622852554,0.020427624974904638,0.1878423724438581,0.08591935067542375,0.3324059999426392,0.11949694553589355,0.3836794103306852
101-1000,close,B,19307,0.8483527815729422,0.15191381364272025,0.0,779.0,6.0,0.4463666027865541,0.1857357435127156,0.20552131351323355,0.010462526544776507,0.007510229450458383,0.09690785725384575,0.039933702802092505,0.18159216864349717,0.11467343450561972,0.29124151862018954,0.15191381364272025,0.3376495571554359
101-1000,close,S,19307,0.8452460192429392,0.23488890039881907,0.0,751.0,5.0,0.3566064121821101,0.20676438597399907,0.19630185942922257,0.0054384420158491735,0.012171751178329103,0.11674522194022893,0.054073652043300356,0.2150515357124359,0.16931682809343762,0.3680012430724608,0.23488890039881907,0.44165328637281814
rest,open,B,3816,0.8047298323796019,0.012054507337526206,0.0,100.0,1.0,0.5518867924528302,0.26231656184486374,0.17374213836477986,0.0,0.0002620545073375262,0.08647798742138364,0.0002620545073375262,0.14046121593291405,0.00550314465408805,0.24082809224318658,0.012054507337526206,0.27437106918238996
rest,open,S,3816,0.8556294819010802,0.014150943396226415,0.0,100.0,1.0,0.5419287211740041,0.3107966457023061,0.1331236897274633,0.0,0.0005241090146750524,0.10246331236897274,0.0020964360587002098,0.1619496855345912,0.011530398322851153,0.2940251572327044,0.014150943396226415,0.3249475890985325
rest,midday,B,38198,0.838293585575618,0.030865490339808368,0.0,100.0,2.0,0.5075134823812765,0.2960364416985182,0.16558458558039688,0.0,0.001387507199329808,0.10233520079585319,0.004371956646944866,0.16393528456987277,0.020079585318603068,0.2872925284046285,0.030865490339808368,0.3269019320383266
rest,midday,S,38198,0.9104336767865236,0.030106288287344886,0.0,100.0,1.0,0.47882088067438083,0.3192837321325724,0.17178909890570188,0.0,0.002015812346196136,0.11238808314571444,0.0047908267448557515,0.1805330121995916,0.02178124509136604,0.3096235404995026,0.030106288287344886,0.3493900204199173
rest,close,B,6367,0.7592568606033657,0.08041463797706927,0.0,102.0,2.0,0.49379613632794095,0.2855347887545155,0.12941730799434584,0.010837128946128476,0.002827077116381341,0.12219255536359352,0.013507146222710853,0.20009423590387937,0.0544997644102403,0.3237003298256636,0.08041463797706927,0.36594942673158476
rest,close,S,6367,0.8448035071891921,0.05025914873566829,0.0,100.0,2.0,0.45720119365478246,0.34129103188314747,0.14402387309564943,0.007224752630752317,0.004240615674572012,0.12329197424218627,0.012250667504319145,0.21752787812156432,0.03879378043034396,0.3480446049945029,0.05025914873566829,0.39155018061881575
