tier,decile,n,ahead0_min,ahead0_median,ahead0_max,p_fill,p_fill_upper,cancel_share
top100,1,50091,1,100.0,200,0.042981773172825456,0.5056197720149328,0.5516630056411173
top100,2,50091,200,200.0,300,0.04076580623265656,0.4302170050508075,0.6160430877072931
top100,3,50091,300,400.0,500,0.04050627857299714,0.3775927811383282,0.6547892716087479
top100,4,50091,500,700.0,1000,0.04797268970473738,0.2940648020602503,0.5921700558564862
top100,5,50091,1000,1368.0,2000,0.04919047333852389,0.2591283863368669,0.6408710402770054
top100,6,50091,2000,2800.0,4000,0.045337485775887885,0.22457128026990877,0.7184998080369928
top100,7,50091,4000,5613.0,8121,0.039847477590784774,0.17695793655546904,0.7573117331295884
top100,8,50091,8121,11967.0,17768,0.02780938691581322,0.11163682098580584,0.790888236310893
top100,9,50091,17768,23450.0,34916,0.012836637320077459,0.05146633127707572,0.8826327029177904
top100,10,50091,34922,63914.0,583450,0.004791279870635444,0.012018127008843905,0.9421370270679976
101-1000,1,30112,1,14.0,100,0.021154357066950052,0.3421891604675877,0.5204374901756831
101-1000,2,30112,100,100.0,104,0.01574123273113709,0.33365435706695007,0.6033182485796598
101-1000,3,30111,104,198.0,201,0.018797117332536282,0.2326060243764737,0.5754499966753712
101-1000,4,30112,201,300.0,398,0.018597236981934114,0.17683979808714134,0.5801708754524181
101-1000,5,30111,398,500.0,600,0.017136594599980074,0.17452093919165754,0.6841698988075743
101-1000,6,30112,600,794.0,965,0.014047555791710947,0.09926275239107332,0.7222170555224572
101-1000,7,30111,965,1200.0,1518,0.010361661851150743,0.05758692836504932,0.7446934746462028
101-1000,8,30112,1518,2039.0,3007,0.00730605738575983,0.03805791710945802,0.7780511493867985
101-1000,9,30111,3007,4700.0,7600,0.006476038656969214,0.027265783268572947,0.806050159140098
101-1000,10,30112,7600,12003.0,109062,0.004350425079702444,0.010959086078639746,0.8198211455338064
rest,1,11507,1,3.0,15,0.004692795689580255,0.17919527244286088,0.7078996758232383
rest,2,11507,15,100.0,100,0.003823759450769097,0.2786130181628574,0.7874114017943344
rest,3,11506,100,100.0,175,0.0071267164957413524,0.1970276377542152,0.66308125527286
rest,4,11507,175,200.0,225,0.004432084817936908,0.20387590162509778,0.7909226214976506
rest,5,11506,225,300.0,400,0.004084825308534677,0.15139926994611508,0.7991212341455444
rest,6,11507,400,500.0,600,0.0014773616059789694,0.1639871382636656,0.9191642645963832
rest,7,11506,600,701.0,1000,0.0015644011819920041,0.11202850686598297,0.930130213361173
rest,8,11507,1000,1163.0,1700,0.0009559398626922742,0.0745633092899974,0.9622588901957929
rest,9,11506,1700,3300.0,6000,0.0014774900052146706,0.058665044324700155,0.9609129000100479
rest,10,11507,6000,11300.0,28970,0.00026071087164334755,0.029547232119579388,0.992098257798979
