tier,session,n,cancel_share,filled,anomaly,median_ahead0,median_orders0,censor_moved,censor_exhausted,censor_T,censor_eod,p_fill_1s,p_fill_upper_1s,p_fill_5s,p_fill_upper_5s,p_fill_30s,p_fill_upper_30s,p_fill_60s,p_fill_upper_60s
top100,open,55460,0.8924514710824609,0.14798052650558963,0.0,700.0,4.0,0.5072484673638659,0.3214569058781104,0.023314100252434185,0.0,0.01862603678326722,0.20499459069599713,0.06130544536602957,0.33418680129823297,0.1348539487919221,0.45360620266859,0.14798052650558963,0.46943743238369995
top100,midday,542696,0.9150480266410976,0.17447889794654833,0.0,1400.0,7.0,0.4583836991612247,0.2705050341259195,0.09663236876630747,0.0,0.010313324586877368,0.1317699043294957,0.04452769137786164,0.24456049058773235,0.13986099031501983,0.40268216460043926,0.17447889794654833,0.44498393207246784
top100,close,57496,0.8392438197490253,0.2720537080840406,0.0,2600.0,9.0,0.437369556143036,0.186117295116182,0.10207666620286629,0.0023827744538750524,0.021079727285376375,0.12419994434395436,0.08795394462223459,0.24243425629609017,0.22773758174481704,0.40962849589536665,0.2720537080840406,0.45817100320022264
101-1000,open,30202,0.9253097484666001,0.070889345076485,0.0,300.0,2.0,0.5240381431693265,0.3572611085358586,0.04781140321832991,0.0,0.005926759817230647,0.1654195086418118,0.021654195086418117,0.27004834116945897,0.05694987086947884,0.39603337527316074,0.070889345076485,0.42815045361234355
101-1000,midday,278936,0.9325126355560066,0.10908237014942496,0.0,406.0,4.0,0.41987409298190265,0.27140992915937706,0.19963360770929534,0.0,0.0040977141709926295,0.1073364499383371,0.018559813003699775,0.18883184673186681,0.07803223678549918,0.33024779877821436,0.10908237014942496,0.380492299308802
101-1000,close,38614,0.8466937853630068,0.19340135702076966,0.0,763.0,5.0,0.4014865074843321,0.19625006474335732,0.20091158647122806,0.00795048428031284,0.009840990314393743,0.10682653959703735,0.047003677422696434,0.19832185217796655,0.14199513129952868,0.32962138084632514,0.19340135702076966,0.389651421764127
rest,open,7632,0.8346944905471743,0.01310272536687631,0.0,100.0,1.0,0.5469077568134172,0.2865566037735849,0.15343291404612158,0.0,0.00039308176100628933,0.0944706498951782,0.0011792452830188679,0.15120545073375263,0.008516771488469601,0.2674266247379455,0.01310272536687631,0.29965932914046123
rest,midday,76396,0.8834723225770164,0.03048588931357663,0.0,100.0,2.0,0.4931671815278287,0.3076600869155453,0.16868684224304936,0.0,0.0017016597727629718,0.10736164197078381,0.0045813916959003085,0.1722341483847322,0.020930415204984554,0.29845803445206553,0.03048588931357663,0.33814597622912196
rest,close,12734,0.8059947518623697,0.06533689335636877,0.0,100.0,2.0,0.47549866499136173,0.31341291031883145,0.13672059054499763,0.009030940788440396,0.003533846395476677,0.1227422648028899,0.012878906863515,0.20881105701272185,0.04664677242029213,0.33587246741008325,0.06533689335636877,0.3787498036752002
