minute,bid,bidSh,ask,askSh
34200000000000,2895300,686,2897400,200
34260000000000,2888500,60,2889000,113
34320000000000,2893100,300,2893500,97
34380000000000,2891700,900,2892400,300
34440000000000,2889300,200,2889900,300
34500000000000,2886900,100,2887300,96
34560000000000,2882800,200,2883100,100
34620000000000,2878300,100,2878700,200
34680000000000,2874100,24,2874700,100
34740000000000,2871100,119,2871500,100
34800000000000,2866400,100,2867200,8
34860000000000,2872900,200,2873100,5
34920000000000,2873500,86,2874100,5
34980000000000,2875800,5,2876200,105
35040000000000,2871200,300,2871800,200
35100000000000,2869400,300,2869700,200
35160000000000,2872200,200,2872800,100
35220000000000,2875000,105,2875200,100
35280000000000,2872500,5,2872900,100
35340000000000,2869500,100,2869700,48
35400000000000,2865100,25,2865300,100
35460000000000,2869900,100,2870000,200
35520000000000,2871500,100,2871700,100
35580000000000,2869000,100,2869200,100
35640000000000,2871700,140,2871900,100
35700000000000,2872500,500,2872800,200
35760000000000,2872400,600,2872700,200
35820000000000,2867400,242,2867700,32
35880000000000,2868000,101,2868400,200
35940000000000,2870800,300,2871300,100
36000000000000,2868300,100,2868600,1
36060000000000,2869300,500,2869600,100
36120000000000,2866200,200,2866600,100
36180000000000,2869200,200,2869500,100
36240000000000,2866900,200,2867100,100
36300000000000,2863600,6,2863800,100
36360000000000,2864200,615,2864400,72
36420000000000,2866300,400,2866500,120
36480000000000,2865100,562,2865500,118
36540000000000,2866700,100,2866900,10
36600000000000,2867300,500,2867500,219
36660000000000,2864000,111,2864100,300
36720000000000,2861800,200,2862100,200
36780000000000,2858600,100,2859000,485
36840000000000,2857900,519,2858100,700
36900000000000,2854100,350,2854300,100
36960000000000,2853700,200,2854100,286
37020000000000,2857800,186,2858200,100
37080000000000,2859100,100,2859600,100
37140000000000,2858200,100,2858500,100
37200000000000,2860900,400,2861200,100
37260000000000,2864300,800,2864400,100
37320000000000,2861400,200,2861700,400
37380000000000,2861200,85,2861300,19
37440000000000,2859700,100,2859900,105
37500000000000,2860500,50,2860700,201
37560000000000,2858800,200,2859100,201
37620000000000,2857900,100,2858200,100
37680000000000,2859300,301,2859600,300
37740000000000,2861100,202,2861400,100
37800000000000,2863700,200,2864000,11832
37860000000000,2862000,100,2862300,300
37920000000000,2863700,400,2863800,200
37980000000000,2863600,200,2863800,1200
38040000000000,2864200,100,2864500,100
38100000000000,2863600,100,2863900,100
38160000000000,2865100,200,2865400,200
38220000000000,2866800,200,2867000,300
38280000000000,2867200,58,2867500,100
38340000000000,2868000,56,2868200,400
38400000000000,2870400,400,2870600,400
38460000000000,2872100,200,2872400,760
38520000000000,2874100,204,2874300,100
38580000000000,2876700,406,2876900,75
38640000000000,2875500,110,2875800,100
38700000000000,2875700,200,2876000,100
38760000000000,2874100,200,2874400,100
38820000000000,2875200,200,2875300,100
38880000000000,2873800,200,2874100,200
38940000000000,2872800,300,2873000,110
39000000000000,2872500,5,2872700,100
39060000000000,2872800,100,2873100,108
39120000000000,2873100,600,2873300,100
39180000000000,2874200,2,2874500,400
39240000000000,2874600,86,2874900,400
39300000000000,2876800,400,2877000,510
39360000000000,2876500,400,2876700,100
39420000000000,2875500,100,2875700,100
39480000000000,2873900,5,2874100,100
39540000000000,2876000,100,2876300,68
39600000000000,2876000,112,2876300,220
39660000000000,2875600,153,2875900,100
39720000000000,2875200,100,2875400,319
39780000000000,2874000,200,2874100,100
39840000000000,2873000,100,2873300,70
39900000000000,2876600,100,2876800,100
39960000000000,2880300,28,2880400,200
