minute,bid,bidSh,ask,askSh
44760000000000,2773600,45,2773700,325
44820000000000,2773300,125,2773500,135
44880000000000,2773700,32,2773800,135
44940000000000,2772400,20,2772500,35
45000000000000,2772100,55,2772300,1005
45060000000000,2773100,139,2773500,35
45120000000000,2772800,26,2772900,582
45180000000000,2770800,446,2771000,435
45240000000000,2770800,436,2771000,325
45300000000000,2772200,440,2772500,410
45360000000000,2772300,502,2772400,635
45420000000000,2773600,10,2773700,124
45480000000000,2772800,140,2773000,390
45540000000000,2772200,1,2772300,73
45600000000000,2772200,55,2772400,95
45660000000000,2772200,25,2772400,85
45720000000000,2772700,300,2772800,175
45780000000000,2771800,10,2772000,70
45840000000000,2770900,84,2771100,459
45900000000000,2771300,80,2771600,225
45960000000000,2772200,191,2772300,135
46020000000000,2772800,74,2772900,104
46080000000000,2774200,479,2774400,142
46140000000000,2774700,297,2775000,265
46200000000000,2775200,225,2775300,110
46260000000000,2775000,95,2775300,118
46320000000000,2774400,158,2774600,225
46380000000000,2774200,152,2774400,235
46440000000000,2774400,224,2774500,135
46500000000000,2773400,186,2773700,461
46560000000000,2772800,54,2773000,525
46620000000000,2770700,55,2770800,320
46680000000000,2769600,135,2769800,48
46740000000000,2771100,175,2771300,55
46800000000000,2773200,125,2773400,99
46860000000000,2771900,138,2772000,25
46920000000000,2772000,485,2772200,58
46980000000000,2774000,244,2774200,163
47040000000000,2777100,211,2777300,210
47100000000000,2777000,294,2777300,55
47160000000000,2777800,59,2778100,60
47220000000000,2777300,56,2777600,166
47280000000000,2775400,29,2775600,100
47340000000000,2774300,28,2774500,159
47400000000000,2775100,312,2775300,128
47460000000000,2775700,1005,2775800,29
47520000000000,2773800,484,2774100,145
47580000000000,2775600,1336,2775900,81
47640000000000,2774100,330,2774300,137
47700000000000,2773100,275,2773300,94
47760000000000,2773700,123,2774000,35
47820000000000,2772200,26,2772400,55
47880000000000,2772900,35,2773100,269
47940000000000,2773500,200,2773600,35
48000000000000,2774100,174,2774300,125
48060000000000,2772900,280,2773200,307
48120000000000,2774000,35,2774200,38
48180000000000,2773900,400,2774100,413
48240000000000,2773200,35,2773600,97
48300000000000,2773500,560,2773800,255
48360000000000,2772600,20,2772800,336
48420000000000,2772200,83,2772400,33
48480000000000,2771500,177,2771700,73
48540000000000,2770700,103,2770800,301
48600000000000,2769400,235,2769800,135
48660000000000,2767800,238,2768000,100
48720000000000,2767800,242,2768000,35
48780000000000,2766500,58,2766700,437
48840000000000,2766000,4,2766100,125
48900000000000,2766400,235,2766700,55
48960000000000,2764500,35,2764700,155
49020000000000,2765500,71,2765600,20
49080000000000,2764900,545,2765100,250
49140000000000,2765700,55,2765900,325
49200000000000,2764300,290,2764600,260
49260000000000,2764500,373,2764800,25
49320000000000,2765200,82,2765600,130
49380000000000,2765300,235,2765600,155
49440000000000,2764400,135,2764700,244
49500000000000,2764900,325,2765100,137
49560000000000,2765200,76,2765400,335
49620000000000,2764900,1041,2765100,238
49680000000000,2763800,23,2763900,235
49740000000000,2764600,286,2764800,155
49800000000000,2765200,425,2765500,65
49860000000000,2765100,60,2765400,54
49920000000000,2764700,620,2764800,164
49980000000000,2764900,325,2765000,403
50040000000000,2763000,430,2763100,237
50100000000000,2764200,150,2764300,145
50160000000000,2764400,358,2764700,320
50220000000000,2762400,906,2762700,228
50280000000000,2763400,50,2763600,40
50340000000000,2762000,761,2762200,489
50400000000000,2763700,57,2763900,155
50460000000000,2763000,280,2763300,160
50520000000000,2764300,210,2764500,89
50580000000000,2762300,1,2762500,173
50640000000000,2764100,94,2764300,140
50700000000000,2764800,1,2765000,87
50760000000000,2766800,251,2767000,44
50820000000000,2766900,85,2767100,400
50880000000000,2766000,845,2766300,113
50940000000000,2764900,31,2765100,46
51000000000000,2766100,211,2766200,24
51060000000000,2765300,230,2765500,136
51120000000000,2765100,402,2765200,423
51180000000000,2763700,111,2763900,346
51240000000000,2762900,126,2763200,60
51300000000000,2763300,36,2763600,398
51360000000000,2763300,361,2763600,137
51420000000000,2764100,910,2764200,35
51480000000000,2764800,236,2765000,201
51540000000000,2764700,130,2765000,236
51600000000000,2765200,141,2765400,85
51660000000000,2764800,235,2765000,126
51720000000000,2764900,151,2765200,60
51780000000000,2764900,76,2765100,838
51840000000000,2764100,570,2764200,135
51900000000000,2763500,101,2763700,10
51960000000000,2763300,176,2763500,135
52020000000000,2763600,135,2763700,149
52080000000000,2763000,1191,2763300,160
52140000000000,2762900,46,2763100,139
52200000000000,2763600,260,2763800,139
52260000000000,2764000,81,2764300,165
52320000000000,2762500,225,2762700,35
52380000000000,2762400,200,2762500,35
52440000000000,2763700,135,2763900,33
52500000000000,2763200,39,2763400,172
52560000000000,2764000,952,2764200,338
52620000000000,2764900,135,2765000,32
52680000000000,2765400,1044,2765600,127
52740000000000,2765200,149,2765400,176
52800000000000,2764800,360,2765000,55
52860000000000,2762500,80,2762700,160
52920000000000,2761800,235,2762100,115
52980000000000,2762500,325,2762700,50
53040000000000,2763100,200,2763200,55
53100000000000,2763500,135,2763700,96
53160000000000,2762200,325,2762400,25
53220000000000,2762000,440,2762300,60
53280000000000,2762900,1420,2763000,45
53340000000000,2763800,200,2763900,35
53400000000000,2762900,1193,2763100,25
53460000000000,2763300,207,2763400,135
53520000000000,2763000,1352,2763200,125
53580000000000,2764300,375,2764500,228
53640000000000,2764700,30,2764800,162
53700000000000,2764100,536,2764300,325
53760000000000,2763500,409,2763700,46
53820000000000,2764100,1104,2764200,551
53880000000000,2763600,261,2763800,152
53940000000000,2763000,69,2763100,30
54000000000000,2763100,140,2763200,266
54060000000000,2764500,437,2764700,149
54120000000000,2763500,100,2763600,69
54180000000000,2764000,325,2764100,90
54240000000000,2764000,291,2764100,169
54300000000000,2764300,304,2764500,235
54360000000000,2764500,625,2764700,293
54420000000000,2765600,25,2765700,77
54480000000000,2764400,125,2764600,60
54540000000000,2764100,287,2764200,125
54600000000000,2763900,235,2764000,10
54660000000000,2763800,107,2763900,652
54720000000000,2764500,215,2764600,135
